,Wh Used,RPM,current,Available filters and text transformations,Ah Used,More details at https,Tachometer,Voltage In,Quit,Menu,Help,ADC1,ADC2,ADC3,PPM,g9 Open Voltage,Checksum,Cell ID,Instant Voltage,Internal Resistance,Open Voltage,duty cycle,ance,Reserved,Pack Current,Voltage,Pack SOC,Relay State,High Temperature,High Thermistor ID,Low Temperature,Low Thermistor ID,Wh Charged,Pack DCL,Pack CCL,High Cell Voltage,High Cell Voltage ID,Low Cell Voltage,Low Cell Voltage ID,Ah Charged,Inte Wh Used
122,,6406,369,,,,,,,,,,,,,,52,5,0,1509,0,,,,,,,,,,,,,,,,,,,,
123,18183,6881,225,,367,,,,,,,1559,633,1559,0,,233,6,0,1509,0,,,,0 Pack Inst.,0,2,32840,25,8,23,4,4380,0,0,,,,,81,
124,,,,,374,,,,,,,1558,632,1558,,,2,7,0,1509,0,,,,,,,,,,,,,,,0,1,0,1,81,
125,18539,,,,,,,,,,,,,,,,55,8,0,1509,0,,,,,,,,,,,,,,,,,,,,
126,18610,6496,363,,376,,,,,,,1557,632,1557,0,,60,9,0,1509,0,794,,,0 Pack Inst.,0,2,32840,25,8,23,4,,0,0,,,,,87,
127,,6777,285,,,,,,,,,,,,,,57,10,0,1509,0,,,,,,,,,,,,,,,,,,,,
128,18978,6782,-674,,383,,,,,,,1558,634,1558,0,,233,11,0,1509,0,,,,0 Pack Inst.,0,2,32840,25,8,23,4,4671,0,0,,,,,87,
129,,,,,385,,,,,,,,,,,,59,12,0,1509,0,,,,,,,,,,,,,,,,,,,,
130,19047,,,,,,,,,,,1559,634,1559,0,,2,13,0,1509,0,,,,,,,,,,,,,,,0,1,0,1,,
131,19392,6613,317,,392,,,,,,,1558,633,1558,0,,233,14,0,1509,0,904,,,0 Pack Inst.,0,2,32840,25,8,23,4,,0,0,,,,,92,
132,,7005,-427,,395,,,,,,,,,,,,2,15,0,1509,0,949,,,,,,,,,,,,,,0,1,0,1,,
133,,,,,,,,,,,,1558,633,1558,,,47,0,0,1509,0,,,,,,,,,,,,,,,,,,,,
134,19533,6517,309,,401,,,,,,,1557,632,1557,,,233,1,0,1509,0,906,,,0 Pack Inst.,0,2,32840,25,8,23,4,5046,0,0,,,,,98,
135,19858,7032,-63,,,,,,,,,,,,,,2,2,0,1509,0,,,,,,,,,,,,5268,,,0,1,0,1,,
136,,,,,405,,,,,,,,,,,,53,3,0,1509,0,,,,,,,,,,,,,,,,,,,,
137,20020,6591,301,,409,,,,,,,1557,633,1557,0,,233,4,0,1509,0,900,,,0 Pack Inst.,0,2,32840,25,8,23,4,5298,0,0,,,,,,
138,20230,,,,,,,,,,,1557,633,1557,0,,2,5,0,1509,0,,,,,,,,,,,,,,,0,1,0,1,,
139,,7055,-78,,,,,,,,,,,,,,56,6,0,1509,0,,,,,,,,,,,,,,,,,,,,
140,20400,6432,304,,412,,,,,,,1556,632,1556,0,,60,7,0,1509,0,,,,0 Pack Inst.,0,2,32840,25,8,23,4,5529,0,0,,,,,103,
141,,,,,418,,,,,,,,,,,,58,8,0,1509,0,,,,,,,,,,,,,,,,,,,,
142,20663,7048,-35,,422,,,,,,,1554,633,1554,0,,233,9,0,1509,0,949,,,0 Pack Inst.,0,2,32840,25,8,23,4,5791,0,0,,,,,,
143,,,,,,,,,,,,1553,632,1553,,,60,10,0,1509,0,,,,,,,,,,,,,,,,,,,,
144,20880,6410,336,,,,,,,,,,,,,,2,11,0,1509,0,,,,,,,,,,,,5805,,,0,1,0,1,,
145,20996,6984,39,,424,,,,,,,1477,633,1477,0,,233,12,0,1509,0,,,,0 Pack Inst.,0,2,32840,25,8,23,4,6056,0,0,,,,,112,
146,,,,,431,,,,,,,1476,633,1476,,,2,13,0,1509,0,,,,,,,,,,,,,,,0,1,0,1,112,
147,21295,,,,,,,,,,,,,,,,64,14,0,1509,0,,,,,,,,,,,,,,,,,,,,
148,21340,6278,377,,431,,,,,,,1447,634,1447,0,,233,15,0,1509,0,767,,,0 Pack Inst.,0,2,32840,25,8,23,4,,0,0,,,,,119,
149,,6595,301,,439,,,,,,,,,,,,2,0,0,1509,0,904,,,,,,,,,,,,,,0,1,0,1,,
150,,,,,,,,,,,,1414,634,1414,,,51,1,0,1509,0,,,,,,,,,,,,,,,,,,,,
151,21706,6851,-1802,,441,,,,,,,1365,635,1365,,,233,2,0,1509,0,32,,,0 Pack Inst.,0,2,32840,25,8,23,4,6389,0,0,,,,,120,
152,21831,6419,297,,,,,,,,,,,,,,2,3,0,1509,0,,,,,,,,,,,,6472,,,0,1,0,1,,
153,,,,,448,,,,,,,,,,,,54,4,0,1509,0,,,,,,,,,,,,,,,,,,,,
154,22136,6979,-161,,452,,,,,,,1298,634,1298,0,,60,5,0,1509,0,939,,,0 Pack Inst.,0,2,32840,25,8,23,4,6700,0,0,,,,,,
155,,,,,,,,,,,,1225,633,1225,,,50,6,0,1509,0,,,,,,,,,,,,,,,,,,,,
156,22326,6018,144,,454,,,,,,,1158,634,1158,,,233,7,0,1509,0,824,,,0 Pack Inst.,0,2,32840,25,8,23,4,6728,0,0,,,,,130,
157,22430,,,,,,,,,,,,,,,,52,8,0,1509,0,,,,,,,,,,,,,,,,,,,,
158,,6200,0,,455,,,,,,,,,,,,2,9,0,1509,0,857,,,,,,,,,,,,,,0,1,0,1,,
159,22520,6132,0,,455,,,,,,,1015,633,1015,0,,233,10,0,1509,0,830,,,0 Pack Inst.,0,2,32840,25,8,23,4,7001,0,0,,,,,,
160,22520,,,,,,,,,,,929,633,929,0,,2,11,0,1509,0,,,,,,,,,,,,,,,0,1,0,1,,
161,,6018,0,,,,,,,,,,,,,,53,12,0,1509,0,,,,,,,,,,,,,,,,,,,,
162,22520,5905,0,,455,,,,,,,928,633,928,0,,233,13,0,1509,0,,,,0 Pack Inst.,0,2,32840,25,8,23,4,7001,0,0,,,,,130,
163,,,,,455,,,,,,,929,633,929,,,2,14,0,1509,0,,,,,,,,,,,,,,,0,1,0,1,130,
164,22520,,,,,,,,,,,,,,,,56,15,0,1509,0,,,,,,,,,,,,,,,,,,,,
165,22520,5792,0,,455,,,,,,,929,633,929,0,,233,0,0,1509,0,787,,,0 Pack Inst.,0,2,32840,25,8,23,4,,0,0,,,,,130,
166,,5679,0,,455,,,,,,,,,,,,2,1,0,1509,0,768,,,,,,,,,,,,,,0,1,0,1,,
167,,,,,,,,,,,,928,632,928,,,43,2,0,1509,0,,,,,,,,,,,,,,,,,,,,
168,22520,5566,0,,455,,,,,,,928,633,928,,,60,3,0,1509,0,749,,,0 Pack Inst.,0,2,32840,25,8,23,4,7001,0,0,,,,,130,
169,22520,,,,,,,,,,,,,,,,48,4,0,1509,0,,,,,,,,,,,,,,,,,,,,
170,22520,5457,0,,455,,,,,,,927,632,927,0,,233,5,0,1509,0,734,,,1 Pack Inst.,0,2,32840,25,8,23,4,,0,0,,,,,130,
171,,5349,0,,,,,,,,,,,,,,50,6,0,1509,0,,,,,,,,,,,,,,,,,,,,
172,,,,,455,,,,,,,927,633,927,,,2,7,0,1509,0,,,,,,,,,,,,,,,0,1,0,1,130,
173,22520,5241,0,,455,,,,,,,927,633,927,,,233,8,0,1509,0,709,,,0 Pack Inst.,0,2,32840,25,8,23,4,7001,0,0,,,,,130,
174,22520,5134,0,,,,,,,,,,,,,,2,9,0,1509,0,,,,,,,,,,,,7001,,,0,1,0,1,,
175,,,,,455,,,,,,,,,,,,56,10,0,1509,0,,,,,,,,,,,,,,,,,,,,
176,22520,5027,0,,455,,,,,,,927,632,927,0,,233,11,0,1509,0,678,,,1 Pack Inst.,0,2,32840,25,8,23,4,7001,0,0,,,,,,
177,22520,,,,,,,,,,,927,632,927,0,,2,12,0,1509,0,,,,,,,,,,,,,,,0,1,0,1,,
178,,4922,0,,,,,,,,,,,,,,59,13,0,1509,0,,,,,,,,,,,,,,,,,,,,
179,22520,4820,0,,455,,,,,,,927,634,927,0,,233,14,0,1509,0,,,,0 Pack Inst.,0,2,32840,25,8,23,4,7001,0,0,,,,,130,
180,,,,,455,,,,,,,927,633,927,,,2,15,0,1509,0,,,,,,,,,,,,,,,0,1,0,1,130,
181,22520,,,,,,,,,,,,,,,,46,0,0,1509,0,,,,,,,,,,,,,,,,,,,,
182,22520,4715,0,,455,,,,,,,929,633,929,0,,60,1,0,1509,0,638,,,0 Pack Inst.,0,2,32840,25,8,23,4,,0,0,,,,,130,
183,,4614,0,,,,,,,,,,,,,,48,2,0,1509,0,,,,,,,,,,,,,,,,,,,,
184,22520,4514,0,,455,,,,,,,930,633,930,0,,233,3,0,1509,0,,,,0 Pack Inst.,0,2,32840,25,8,23,4,7001,0,0,,,,,130,
185,,,,,455,,,,,,,,,,,,50,4,0,1509,0,,,,,,,,,,,,,,,,,,,,
186,22520,,,,,,,,,,,929,632,929,0,,2,5,0,1509,0,,,,,,,,,,,,,,,0,1,0,1,,
187,22520,4413,0,,455,,,,,,,930,632,930,0,,233,6,0,1509,0,611,,,0 Pack Inst.,0,2,32840,25,8,23,4,,0,0,,,,,130,
188,,4313,0,,455,,,,,,,,,,,,2,7,0,1509,0,582,,,,,,,,,,,,,,0,1,0,1,,
189,,,,,,,,,,,,931,633,931,,,51,8,0,1509,0,,,,,,,,,,,,,,,,,,,,
190,22520,4217,0,,455,,,,,,,933,634,933,,,233,9,0,1509,0,571,,,0 Pack Inst.,0,2,32840,25,8,23,4,7001,0,0,,,,,130,
191,22520,4117,0,,,,,,,,,,,,,,2,10,0,1509,0,,,,,,,,,,,,7001,,,0,1,0,1,,
192,,,,,455,,,,,,,,,,,,54,11,0,1509,0,,,,,,,,,,,,,,,,,,,,
193,22520,4023,0,,455,,,,,,,930,632,930,0,,233,12,0,1509,0,549,,,0 Pack Inst.,0,2,32840,25,8,23,4,7001,0,0,,,,,,
194,22520,,,,,,,,,,,931,632,931,0,,2,13,0,1509,0,,,,,,,,,,,,,,,0,1,0,1,,
195,,3925,0,,,,,,,,,,,,,,57,14,0,1509,0,,,,,,,,,,,,,,,,,,,,
196,22520,3834,0,,455,,,,,,,932,632,932,0,,60,15,0,1509,0,,,,0 Pack Inst.,0,2,32840,25,8,23,4,7001,0,0,,,,,130,
197,,,,,455,,,,,,,,,,,,43,0,0,1509,0,,,,,,,,,,,,,,,,,,,,
198,22520,4190,264,,458,,,,,,,988,632,988,0,,233,1,0,1509,0,629,,,0 Pack Inst.,0,2,32840,25,8,23,4,7001,0,0,,,,,,
199,,,,,,,,,,,,1262,633,1262,,,45,2,0,1509,0,,,,,,,,,,,,,,,,,,,,
200,22668,5086,275,,,,,,,,,,,,,,2,3,0,1509,0,,,,,,,,,,,,7001,,,0,1,0,1,,
201,22909,5970,262,,463,,,,,,,1261,632,1261,0,,233,4,0,1509,0,,,,0 Pack Inst.,0,2,32840,25,8,23,4,7001,0,0,,,,,130,
202,,,,,469,,,,,,,1261,634,1261,,,2,5,0,1509,0,,,,,,,,,,,,,,,0,1,0,1,130,
203,23186,,,,,,,,,,,,,,,,49,6,0,1509,0,,,,,,,,,,,,,,,,,,,,
204,23485,6801,206,,475,,,,,,,1261,632,1261,0,,233,7,0,1509,0,928,,,0 Pack Inst.,0,2,32840,25,8,23,4,,0,0,,,,,130,
205,,6864,-24,,475,,,,,,,,,,,,2,8,0,1509,0,934,,,,,,,,,,,,,,0,1,0,1,,
206,,,,,,,,,,,,1261,633,1261,,,52,9,0,1509,0,,,,,,,,,,,,,,,,,,,,
207,23504,6746,61,,476,,,,,,,1261,633,1261,,,233,10,0,1509,0,946,,,0 Pack Inst.,0,2,32840,25,8,23,4,7051,0,0,,,,,131,
208,23545,6808,10,,,,,,,,,,,,,,2,11,0,1509,0,,,,,,,,,,,,7052,,,0,1,0,1,,
209,,,,,477,,,,,,,,,,,,58,12,0,1509,0,,,,,,,,,,,,,,,,,,,,
210,23602,6783,73,,478,,,,,,,1260,634,1260,0,,60,13,0,1509,0,949,,,1 Pack Inst.,0,2,32840,25,8,23,4,7052,0,0,,,,,,
211,,,,,,,,,,,,1261,633,1261,,,60,14,0,1509,0,,,,,,,,,,,,,,,,,,,,
212,23652,6784,41,,479,,,,,,,1260,633,1260,,,233,15,0,1509,0,947,,,0 Pack Inst.,0,2,32840,25,8,23,4,7052,0,0,,,,,131,
213,23691,,,,,,,,,,,,,,,,46,0,0,1509,0,,,,,,,,,,,,,,,,,,,,
214,,6795,20,,480,,,,,,,,,,,,2,1,0,1509,0,944,,,,,,,,,,,,,,0,1,0,1,,
215,23749,6782,38,,481,,,,,,,1262,635,1262,0,,233,2,0,1509,0,933,,,0 Pack Inst.,0,2,32840,25,8,23,4,7052,0,0,,,,,,
216,23786,,,,,,,,,,,1260,632,1260,0,,2,3,0,1509,0,,,,,,,,,,,,,,,0,1,0,1,,
217,,6804,40,,,,,,,,,,,,,,50,4,0,1509,0,,,,,,,,,,,,,,,,,,,,
218,23840,6773,39,,482,,,,,,,1259,632,1259,0,,233,5,0,1509,0,,,,0 Pack Inst.,0,2,32840,25,8,23,4,7052,0,0,,,,,131,
219,,,,,483,,,,,,,1258,633,1258,,,2,6,0,1509,0,,,,,,,,,,,,,,,0,1,0,1,131,
220,23878,,,,,,,,,,,,,,,,53,7,0,1509,0,,,,,,,,,,,,,,,,,,,,
221,23933,6804,23,,484,,,,,,,1259,633,1259,0,,233,8,0,1509,0,939,,,0 Pack Inst.,0,2,32840,25,8,23,4,,0,0,,,,,131,
222,,6788,31,,485,,,,,,,,,,,,2,9,0,1509,0,937,,,,,,,,,,,,,,0,1,0,1,,
223,,,,,,,,,,,,1259,633,1259,,,56,10,0,1509,0,,,,,,,,,,,,,,,,,,,,
224,23979,6796,45,,486,,,,,,,1259,633,1259,,,60,11,0,1509,0,934,,,0 Pack Inst.,0,2,32840,25,8,23,4,7052,0,0,,,,,131,
225,24029,,,,,,,,,,,,,,,,58,12,0,1509,0,,,,,,,,,,,,,,,,,,,,
226,24079,6794,51,,487,,,,,,,1259,634,1259,0,,233,13,0,1509,0,944,,,0 Pack Inst.,0,2,32840,25,8,23,4,,0,0,,,,,131,
227,,6783,40,,,,,,,,,,,,,,64,14,0,1509,0,,,,,,,,,,,,,,,,,,,,
228,,,,,488,,,,,,,1259,633,1259,,,2,15,0,1509,0,,,,,,,,,,,,,,,0,1,0,1,131,
229,24116,6798,27,,489,,,,,,,1258,632,1258,,,233,0,0,1509,0,931,,,0 Pack Inst.,0,2,32840,25,8,23,4,7052,0,0,,,,,131,
230,24168,6775,62,,,,,,,,,,,,,,2,1,0,1509,0,,,,,,,,,,,,7052,,,0,1,0,1,,
231,,,,,489,,,,,,,,,,,,52,2,0,1509,0,,,,,,,,,,,,,,,,,,,,
232,24212,6794,39,,490,,,,,,,1258,633,1258,0,,233,3,0,1509,0,923,,,0 Pack Inst.,0,2,32840,25,8,23,4,7052,0,0,,,,,,
233,24262,,,,,,,,,,,1258,632,1258,0,,2,4,0,1509,0,,,,,,,,,,,,,,,0,1,0,1,,
234,,6802,45,,,,,,,,,,,,,,52,5,0,1509,0,,,,,,,,,,,,,,,,,,,,
235,24317,6779,44,,492,,,,,,,1257,633,1257,0,,233,6,0,1509,0,,,,0 Pack Inst.,0,2,32840,25,8,23,4,7052,0,0,,,,,131,
236,,,,,492,,,,,,,1256,633,1256,,,2,7,0,1509,0,,,,,,,,,,,,,,,0,1,0,1,131,
237,24352,,,,,,,,,,,,,,,,54,8,0,1509,0,,,,,,,,,,,,,,,,,,,,
238,24404,6793,43,,493,,,,,,,1251,632,1251,0,,60,9,0,1509,0,944,,,0 Pack Inst.,0,2,32840,25,8,23,4,,0,0,,,,,131,
239,,6784,69,,,,,,,,,,,,,,56,10,0,1509,0,,,,,,,,,,,,,,,,,,,,
240,24455,6799,21,,494,,,,,,,1250,633,1250,0,,233,11,0,1509,0,,,,0 Pack Inst.,0,2,32840,25,8,23,4,7052,0,0,,,,,131,
241,,,,,495,,,,,,,,,,,,55,12,0,1509,0,,,,,,,,,,,,,,,,,,,,
242,24498,,,,,,,,,,,1251,632,1251,0,,2,13,0,1509,0,,,,,,,,,,,,,,,0,1,0,1,,
243,24544,6792,22,,496,,,,,,,1250,632,1250,0,,233,14,0,1509,0,944,,,0 Pack Inst.,0,2,32840,25,8,23,4,,0,0,,,,,131,
244,,6794,56,,497,,,,,,,,,,,,2,15,0,1509,0,941,,,,,,,,,,,,,,0,1,0,1,,
245,,,,,,,,,,,,1251,633,1251,,,43,0,0,1509,0,,,,,,,,,,,,,,,,,,,,
246,24601,6793,38,,498,,,,,,,1250,633,1250,,,233,1,0,1509,0,921,,,0 Pack Inst.,0,2,32840,25,8,23,4,7052,0,0,,,,,131,
247,24639,6797,48,,,,,,,,,,,,,,2,2,0,1509,0,,,,,,,,,,,,7052,,,0,1,0,1,,
248,,,,,499,,,,,,,,,,,,46,3,0,1509,0,,,,,,,,,,,,,,,,,,,,
249,24697,6783,34,,500,,,,,,,1252,635,1252,0,,233,4,0,1509,0,926,,,0 Pack Inst.,0,2,32840,25,8,23,4,7052,0,0,,,,,,
250,24733,,,,,,,,,,,1249,633,1249,0,,2,5,0,1509,0,,,,,,,,,,,,,,,0,1,0,1,,
251,,6776,41,,,,,,,,,,,,,,49,6,0,1509,0,,,,,,,,,,,,,,,,,,,,
252,24782,6770,49,,501,,,,,,,1249,633,1249,0,,60,7,0,1509,0,,,,0 Pack Inst.,0,2,32840,25,8,23,4,7052,0,0,,,,,131,
253,,,,,502,,,,,,,,,,,,49,8,0,1509,0,,,,,,,,,,,,,,,,,,,,
254,24824,6802,21,,503,,,,,,,1247,632,1247,0,,233,9,0,1509,0,917,,,0 Pack Inst.,0,2,32840,25,8,23,4,7052,0,0,,,,,,
255,,,,,,,,,,,,1249,633,1249,,,54,10,0,1509,0,,,,,,,,,,,,,,,,,,,,
256,24883,6778,47,,,,,,,,,,,,,,2,11,0,1509,0,,,,,,,,,,,,7052,,,0,1,0,1,,
257,24923,6806,24,,504,,,,,,,1251,635,1251,0,,233,12,0,1509,0,,,,0 Pack Inst.,0,2,32840,25,8,23,4,7052,0,0,,,,,131,
258,,,,,505,,,,,,,1248,633,1248,,,2,13,0,1509,0,,,,,,,,,,,,,,,0,1,0,1,131,
259,24980,,,,,,,,,,,,,,,,63,14,0,1509,0,,,,,,,,,,,,,,,,,,,,
260,25021,6773,62,,506,,,,,,,1248,636,1248,0,,233,15,0,1509,0,945,,,0 Pack Inst.,0,2,32840,25,8,23,4,,0,0,,,,,131,
261,,6792,22,,507,,,,,,,,,,,,2,0,0,1509,0,929,,,,,,,,,,,,,,0,1,0,1,,
262,,,,,,,,,,,,1151,632,1151,,,50,1,0,1509,0,,,,,,,,,,,,,,,,,,,,
263,25067,6707,44,,507,,,,,,,1120,632,1120,,,233,2,0,1509,0,905,,,0 Pack Inst.,0,2,32840,25,8,23,4,7052,0,0,,,,,131,
264,25086,6695,70,,,,,,,,,,,,,,2,3,0,1509,0,,,,,,,,,,,,7052,,,0,1,0,1,,
265,,,,,508,,,,,,,,,,,,53,4,0,1509,0,,,,,,,,,,,,,,,,,,,,
266,25136,6737,45,,509,,,,,,,1120,633,1120,0,,60,5,0,1509,0,934,,,0 Pack Inst.,0,2,32840,25,8,23,4,7052,0,0,,,,,,
267,,,,,,,,,,,,1121,633,1121,,,55,6,0,1509,0,,,,,,,,,,,,,,,,,,,,
268,25196,6713,46,,510,,,,,,,1123,634,1123,,,233,7,0,1509,0,928,,,0 Pack Inst.,0,2,32840,25,8,23,4,7052,0,0,,,,,131,
269,25237,,,,,,,,,,,,,,,,57,8,0,1509,0,,,,,,,,,,,,,,,,,,,,
270,,6710,54,,511,,,,,,,,,,,,2,9,0,1509,0,921,,,,,,,,,,,,,,0,1,0,1,,
271,25286,6701,42,,512,,,,,,,1122,632,1122,0,,233,10,0,1509,0,929,,,0 Pack Inst.,0,2,32840,25,8,23,4,7052,0,0,,,,,,
272,25327,,,,,,,,,,,1122,633,1122,0,,2,11,0,1509,0,,,,,,,,,,,,,,,0,1,0,1,,
273,,6732,39,,,,,,,,,,,,,,58,12,0,1509,0,,,,,,,,,,,,,,,,,,,,
274,25387,6721,67,,513,,,,,,,1124,634,1124,0,,233,13,0,1509,0,,,,0 Pack Inst.,0,2,32840,25,8,23,4,7052,0,0,,,,,131,
275,,,,,514,,,,,,,1124,633,1124,,,2,14,0,1509,0,,,,,,,,,,,,,,,0,1,0,1,131,
276,25434,,,,,,,,,,,,,,,,61,15,0,1509,0,,,,,,,,,,,,,,,,,,,,
277,25476,6714,61,,515,,,,,,,1124,633,1124,0,,233,0,0,1509,0,918,,,0 Pack Inst.,0,2,32840,25,8,23,4,,0,0,,,,,131,
